RecordNumber,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Cannabis,Nicotine,Amphet,Amyl,Benzos,Cocaine,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,Semeron,VolatileSubstance
85,1.09449,1,-1.7379,0.96082,-0.31685,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1.82213,1,-1.7379,0.96082,-0.31685,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.49788,0,1.16365,0.96082,-0.31685,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
93,-0.07854,1,-1.22751,0.96082,-0.31685,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2.59171,0,-1.7379,0.96082,-0.31685,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1.09449,0,-1.7379,-0.09765,-0.31685,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1.09449,0,-0.05921,0.24923,-0.31685,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.49788,1,-0.05921,0.96082,-0.31685,-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,-0.07854,0,-0.61113,0.96082,-0.31685,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1.09449,1,1.16365,0.96082,-0.50212,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,-0.07854,0,0.45468,0.96082,-0.31685,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.49788,1,-0.05921,0.24923,-0.31685,0.62967,-0.57545,0.14143,-1.772,-0.40581,0.52975,-0.21575,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.49788,0,0.45468,0.96082,-0.31685,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0.49788,0,-0.05921,0.96082,-0.31685,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1.82213,1,1.16365,0.96082,-0.31685,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1.09449,1,-1.7379,0.96082,-0.31685,-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1.82213,1,0.45468,0.96082,-0.31685,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1.09449,0,-1.43719,0.96082,-0.31685,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1.09449,0,1.16365,0.96082,-0.31685,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1.09449,0,-1.7379,0.96082,-0.31685,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0.49788,0,-1.22751,0.21128,-0.31685,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.49788,0,-1.7379,0.96082,-0.31685,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1.09449,0,0.45468,0.96082,-0.31685,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1.09449,0,0.45468,0.96082,-0.31685,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1.09449,1,-1.7379,0.96082,-0.31685,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.49788,0,-1.7379,0.96082,-0.31685,-0.79151,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0.49788,1,-1.43719,0.96082,-0.31685,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,0.52975,0.40148,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.49788,1,-0.05921,0.96082,-1.10702,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0.49788,1,1.16365,0.96082,-1.10702,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.49788,0,-0.05921,0.96082,-0.31685,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1.09449,0,0.45468,0.96082,-0.31685,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.49788,0,-0.61113,0.96082,-0.31685,-0.24649,1.2861,0.14143,0.59042,1.13407,0.19268,0.07987,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0.49788,0,0.45468,0.96082,-1.10702,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,-0.07854,1,-1.7379,0.96082,-0.31685,-1.05308,1.11406,-1.82919,-0.45321,0.7583,-0.21712,0.7654,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.49788,0,0.45468,-0.09765,-0.31685,-0.24649,0.16767,-0.31776,-0.30172,0.41594,0.88113,1.2247,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1.09449,0,-0.61113,0.96082,-1.10702,-0.46725,-0.57545,-0.58331,0.13136,0.25953,-0.21712,-1.18084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0.49788,1,0.45468,0.96082,-1.10702,-0.67825,0.32197,-0.84732,1.81866,-0.40581,-0.71126,-1.18084,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
164,-0.07854,0,-0.61113,0.96082,-0.31685,1.8399,0.00332,-0.31776,0.94156,0.12331,-0.21712,-0.84637,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
168,-0.07854,0,-0.05921,0.96082,-1.10702,0.04257,0.00332,-0.97631,-0.45321,0.93949,0.52975,-0.52593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0.49788,0,0.45468,0.96082,-0.31685,1.02119,0.63779,1.24033,0.13136,0.25953,0.52975,0.40148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1.82213,0,0.45468,0.96082,-0.31685,0.62967,0.00332,0.44585,1.2861,0.12331,0.19268,0.07987,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0.49788,0,0.45468,0.96082,0.1144,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,-1.37983,-1.18084,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0.49788,0,0.45468,0.96082,-0.31685,1.49158,0.00332,-1.27553,-0.91699,1.13407,-0.71126,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1.09449,0,-0.05921,0.96082,-0.31685,0.31287,0.63779,-1.55521,0.28783,0.93949,0.19268,0.07987,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
182,-0.07854,1,1.98437,0.96082,-0.31685,-1.32828,-0.43999,-0.31776,0.59042,0.93949,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.49788,0,-0.61113,0.96082,-0.31685,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1.82213,1,-1.22751,0.96082,-0.31685,0.04257,-0.80615,-0.97631,0.59042,0.25953,-1.37983,-1.18084,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0.49788,0,1.16365,0.96082,-0.31685,-0.67825,1.45421,0.14143,0.28783,1.81175,-1.37983,-1.54858,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1.82213,0,-1.7379,0.96082,-0.31685,-0.79151,-0.80615,-1.97495,1.11406,0.58489,-1.37983,-1.54858,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,-0.95197,0,1.16365,0.96082,-0.31685,-0.34799,0.00332,-0.45174,0.13136,0.7583,-0.71126,-0.84637,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
192,-0.95197,1,0.45468,0.96082,0.126,-0.34799,1.2861,-1.11902,0.59042,-0.52745,0.52975,0.07987,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
195,-0.07854,0,0.45468,0.24923,0.126,-0.92104,1.2861,-0.01928,-0.01729,0.41594,-0.71126,-1.18084,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,-0.95197,1,0.45468,0.96082,-1.10702,-0.58016,0.32197,-0.58331,1.2861,-0.89891,0.19268,-1.18084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1.82213,0,0.45468,0.96082,-0.31685,-0.34799,0.47617,-0.71727,-0.91699,-0.52745,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,-0.95197,0,0.45468,0.96082,-0.31685,-0.58016,0.16767,-0.84732,1.11406,1.46191,0.52975,1.2247,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2.59171,1,-2.43591,0.96082,-0.31685,-1.55078,-1.09207,-2.39883,-0.91699,-0.65253,-1.37983,-2.07848,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
207,-0.95197,0,0.45468,0.96082,-0.31685,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,-0.07854,0,-0.61113,0.96082,-0.31685,0.73545,0.16767,-1.42424,-0.01729,-1.25773,1.86203,0.7654,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1.09449,0,-1.7379,0.96082,-0.31685,-0.67825,-0.57545,-1.11902,1.11406,0.93949,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,-0.07854,0,-0.05921,0.96082,-0.31685,-0.14882,1.11406,0.44585,1.2861,1.30612,0.19268,1.2247,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
222,-0.07854,0,0.45468,0.96082,-0.31685,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1.82213,1,0.45468,0.96082,-0.31685,-1.1943,1.11406,-0.31776,1.11406,0.93949,-0.21712,0.07987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1.09449,0,0.45468,0.96082,-0.31685,-0.46725,1.45421,0.29338,0.43852,0.7583,-0.21712,-0.21575,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,1.09449,0,0.45468,0.96082,-0.31685,-0.46725,0.47617,-0.71727,1.45039,1.46191,-0.21712,-0.84637,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,-0.95197,1,-0.61113,0.96082,-0.31685,0.22393,0.96248,-0.97631,-0.60633,0.58489,1.29221,0.40148,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1.09449,0,0.45468,0.96082,-0.31685,-1.05308,1.45421,0.14143,0.94156,1.63088,-1.37983,-2.07848,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,1.09449,1,0.45468,0.96082,-0.31685,-0.67825,0.80523,-1.42424,0.94156,0.25953,0.52975,0.40148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,-0.07854,0,0.45468,0.96082,-0.31685,0.41667,0.96248,-0.01928,-0.91699,1.63088,0.19268,0.40148,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
237,-0.07854,0,1.16365,0.96082,-0.31685,1.49158,0.32197,-0.17779,0.43852,0.41594,0.19268,-0.21575,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,-0.95197,0,-1.22751,0.96082,-0.31685,0.52135,-0.15487,-0.71727,-0.60633,0.25953,-0.21712,-0.21575,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1.09449,0,-0.05921,0.96082,-0.31685,-1.86962,0.63779,0.7233,1.61108,0.25953,-1.37983,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1.09449,1,1.16365,0.96082,-0.31685,-0.92104,-0.30033,-1.11902,0.59042,1.63088,-0.21712,-0.52593,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,1.09449,0,1.98437,0.96082,-0.31685,-2.42317,0.16767,-0.31776,2.03972,1.81175,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1.09449,0,-0.05921,0.96082,-0.31685,1.13281,0.32197,-0.17779,0.94156,1.13407,-0.71126,-0.21575,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1.09449,1,0.45468,0.96082,-0.31685,-0.46725,0.16767,-0.31776,-0.45321,1.46191,0.19268,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0.49788,0,0.45468,0.96082,-0.31685,0.62967,-0.94779,-0.71727,-0.15487,0.7583,-1.37983,-1.54858,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,-0.95197,0,1.16365,0.96082,-0.31685,-1.43907,0.96248,-0.58331,2.23427,2.04506,-0.71126,-0.21575,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
255,-0.07854,1,-0.05921,0.96082,-0.31685,1.37297,-0.69509,-0.71727,-0.91699,-0.27607,-1.37983,-0.84637,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2.59171,1,-0.05921,0.96082,-0.31685,-1.05308,-0.30033,0.29338,0.43852,0.7583,-0.21712,-0.52593,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1.09449,1,1.16365,0.96082,-0.50212,-0.92104,0.80523,-0.31776,0.94156,0.25953,-1.37983,-1.54858,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,1.82213,0,-2.43591,0.96082,-0.31685,-1.05308,0.00332,-0.01928,1.61108,1.13407,-0.71126,-1.54858,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265,-0.95197,0,0.45468,0.96082,-0.31685,-0.46725,0.16767,-0.01928,0.59042,0.58489,-1.37983,-1.18084,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0.49788,0,0.45468,0.96082,-1.10702,-0.24649,0.00332,-0.45174,-0.01729,-0.00665,-0.71126,-2.07848,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0.49788,1,-0.05921,0.96082,-1.10702,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,-0.21712,0.07987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1.09449,0,1.16365,0.96082,-0.31685,-1.05308,1.74091,0.58331,0.43852,2.04506,-0.21712,-0.52593,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273,1.82213,1,1.98437,0.96082,-0.31685,-1.05308,0.00332,-0.01928,0.28783,-0.00665,0.52975,-0.84637,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1.82213,1,1.98437,0.96082,-0.31685,-0.92104,0.47617,-0.58331,-0.30172,-0.52745,-0.21712,-0.52593,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1.09449,0,0.45468,0.96082,-0.31685,-0.24649,-0.43999,-0.31776,0.76096,-0.00665,-0.71126,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1.82213,1,1.16365,0.96082,-0.31685,-0.05188,0.16767,0.7233,-0.01729,-0.89891,-0.71126,-0.84637,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,1.09449,1,0.45468,0.96082,-0.31685,-0.92104,1.58487,0.14143,-0.30172,0.7583,0.19268,0.40148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0.49788,1,0.45468,0.96082,-0.31685,-0.92104,1.2861,-0.71727,-0.30172,0.25953,-1.37983,-0.21575,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1.09449,0,0.45468,0.96082,-0.31685,0.22393,-1.37639,-0.17779,-1.34289,-0.14277,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,-0.07854,1,-0.61113,0.96082,-0.31685,0.62967,0.32197,-0.71727,-0.30172,-0.00665,-0.21712,-1.54858,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1.09449,0,-0.05921,0.96082,-0.31685,-0.05188,-0.15487,-0.58331,-0.60633,0.41594,-0.71126,-0.52593,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,-0.95197,0,-1.43719,0.96082,-0.31685,-0.34799,0.47617,-0.17779,-0.60633,-0.14277,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0.49788,0,0.45468,0.96082,-0.31685,0.13606,-0.30033,-1.42424,1.61108,0.41594,-0.21712,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0.49788,0,-0.05921,-0.57009,-0.31685,0.82562,-0.94779,-0.17779,0.43852,0.58489,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,-0.07854,0,-0.61113,-0.57009,-0.31685,-0.24649,-0.43999,-1.55521,0.13136,0.58489,-1.37983,-1.54858,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0.49788,0,1.98437,0.96082,-0.31685,0.52135,-0.43999,-0.71727,0.59042,0.93949,-0.71126,-0.84637,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1.09449,0,0.45468,0.96082,-0.31685,-0.34799,0.00332,-1.27553,-0.15487,0.93949,-0.21712,-1.18084,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1.09449,1,1.16365,0.96082,-0.31685,-0.46725,-0.57545,-0.71727,1.11406,0.7583,-0.71126,-0.52593,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0.49788,0,-1.22751,0.96082,-0.31685,-1.69163,0.80523,-0.17779,-0.01729,1.63088,0.19268,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.49788,1,1.16365,0.96082,-0.31685,-0.79151,0.16767,-0.17779,0.59042,0.41594,-1.37983,-2.07848,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,-0.95197,0,-1.22751,0.21128,-0.31685,-0.58016,0.16767,-0.71727,0.13136,-0.14277,-0.71126,-1.18084,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1.09449,0,1.98437,0.96082,-0.31685,-0.79151,0.80523,0.58331,-0.01729,0.41594,-0.71126,-0.52593,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0.49788,1,0.45468,0.96082,-1.10702,-0.79151,1.93886,-0.97631,-0.01729,1.13407,-0.71126,-0.52593,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
319,-0.07854,0,-0.05921,0.96082,-0.31685,0.04257,0.00332,-0.71727,0.28783,0.93949,-1.37983,-1.18084,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1.09449,0,-1.7379,0.96082,0.1144,0.31287,-0.30033,-1.27553,-0.15487,0.58489,0.88113,0.40148,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1.09449,0,0.45468,0.96082,-0.31685,0.73545,-0.30033,-0.58331,-1.07533,-0.14277,-1.37983,-1.18084,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0.49788,0,-0.61113,0.96082,-0.31685,0.52135,-0.30033,-0.97631,1.81866,1.63088,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
